
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
ECJ-1VB1C104K                    C7                                28   1   1   1   1 1      1 0 +3.3V               831489
ECJ-1VB1C104K                    C7                                28   1   2   2   1 2      2 0 GND                 888833
ECJ-1VB1C104K                    C10                               29   1   1   1   1 1      1 0 VREG                290817
ECJ-1VB1C104K                    C10                               29   1   2   2   1 2      2 0 XSIG010351          901121
ECJ-1VB1C104K                    C12                               25   1   1   1   1 1      1 0 GVDD                860161
ECJ-1VB1C104K                    C12                               25   1   2   2   1 2      2 0 GND                 888833
ECJ-1VB1C104K                    C22                               27   1   1   1   1 1      1 0 +5V                 851969
ECJ-1VB1C104K                    C22                               27   1   2   2   1 2      2 0 GND                 888833
ECJ-1VB1C105K                    C8                                23   1   1   1   1 1      1 0 GVDD                860161
ECJ-1VB1C105K                    C8                                23   1   2   2   1 2      2 0 GND                 888833
ECJ-1VB1C105K                    C9                                24   1   1   1   1 1      1 0 GVDD                860161
ECJ-1VB1C105K                    C9                                24   1   2   2   1 2      2 0 GND                 888833
ECJ-1VB1C105K                    C13                               21   1   1   1   1 1      1 0 GVDD                860161
ECJ-1VB1C105K                    C13                               21   1   2   2   1 2      2 0 GND                 888833
ECJ-1VB1C105K                    C14                               22   1   1   1   1 1      1 0 GVDD                860161
ECJ-1VB1C105K                    C14                               22   1   2   2   1 2      2 0 GND                 888833
ECJ-2VB2A103K                    C3                                11   1   1   1   1 1      1 0 XSIG010009          24577
ECJ-2VB2A103K                    C3                                11   1   2   2   1 2      2 0 GND                 888833
ED600/2DS                        J3                                71   1   1   1   1 1      1 0 OUTB                446465
ED600/2DS                        J3                                71   1   2   2   1 2      2 0 OUTA                442369
ED600/2DS                        J4                                72   1   1   1   1 1      1 0 OUTD                454657
ED600/2DS                        J4                                72   1   2   2   1 2      2 0 OUTC                450561
ED655/2DS                        J2                                70   1   1   1   1 1      1 0 GVDD                860161
ED655/2DS                        J2                                70   1   2   2   1 2      2 0 GND                 888833
EEU-FC1C470                      C6                                84   1   1   1   1 1      1 0 +3.3V               831489
EEU-FC1C470                      C6                                84   1   2   2   1 2      2 0 GND                 888833
EEU-FC1C470                      C11                               83   1   1   1   1 1      1 0 GVDD                860161
EEU-FC1C470                      C11                               83   1   2   2   1 2      2 0 GND                 888833
EEU-FC1C470                      C17                               85   1   1   1   1 1      1 0 +5V                 851969
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
EEU-FC1C470                      C17                               85   1   2   2   1 2      2 0 GND                 888833
ERJ-3EKF3570V                    R5                                30   1   1   1   1 1      1 0 XSIG010072          196609
ERJ-3EKF3570V                    R5                                30   1   2   2   1 2      2 0 GND                 888833
ERJ-3EKF3920V                    R2                                20   1   1   1   1 1      1 0 XSIG010034          81921
ERJ-3EKF3920V                    R2                                20   1   2   2   1 2      2 0 GND                 888833
ERJ-3EKF3920V                    R3                                19   1   1   1   1 1      1 0 XSIG010039          94209
ERJ-3EKF3920V                    R3                                19   1   2   2   1 2      2 0 GND                 888833
ERJ-3EKF4991V                    R4                                14   1   1   1   1 1      1 0 XSIG010014          45057
ERJ-3EKF4991V                    R4                                14   1   2   2   1 2      2 0 GND                 888833
ERJ-8RQJ3R3V                     R1                                10   1   1   1   1 1      1 0 PVDD                794625
ERJ-8RQJ3R3V                     R1                                10   1   2   2   1 2      2 0 XSIG010009          24577
ESR10EZPJ1R0                     R7                                89   1   1   1   1 1      1 0 XSIG010351          901121
ESR10EZPJ1R0                     R7                                89   1   2   2   1 2      2 0 GND                 888833
GRM32CR72A684KA01L               C25                               54   1   1   1   1 1      1 0 OUTA                442369
GRM32CR72A684KA01L               C25                               54   1   2   2   1 2      2 0 GND                 888833
GRM32CR72A684KA01L               C26                               53   1   1   1   1 1      1 0 OUTB                446465
GRM32CR72A684KA01L               C26                               53   1   2   2   1 2      2 0 GND                 888833
GRM32CR72A684KA01L               C27                               52   1   1   1   1 1      1 0 OUTC                450561
GRM32CR72A684KA01L               C27                               52   1   2   2   1 2      2 0 GND                 888833
GRM32CR72A684KA01L               C28                               51   1   1   1   1 1      1 0 OUTD                454657
GRM32CR72A684KA01L               C28                               51   1   2   2   1 2      2 0 GND                 888833
HeatSink_DRV8402DKD              HS1                               68   1   1   1   1 1      1 0 GND                 888833
HeatSink_DRV8402DKD              HS1                               68   1   2   2   1 2      2 0 GND                 888833
IRLMS5703TRPBF                   Q1                                16   1   1   1   1 1      1 0 XSIG010032          77825
IRLMS5703TRPBF                   Q1                                16   1   2   2   1 2      2 0 XSIG010032          77825
IRLMS5703TRPBF                   Q1                                16   1   3   3   1 3      3 0 OTW~                765953
IRLMS5703TRPBF                   Q1                                16   1   4   4   1 4      4 0 +3.3V               831489
IRLMS5703TRPBF                   Q1                                16   1   5   5   1 5      5 0 XSIG010032          77825
IRLMS5703TRPBF                   Q1                                16   1   6   6   1 6      6 0 XSIG010032          77825
IRLMS5703TRPBF                   Q2                                15   1   1   1   1 1      1 0 XSIG010036          90113
IRLMS5703TRPBF                   Q2                                15   1   2   2   1 2      2 0 XSIG010036          90113
IRLMS5703TRPBF                   Q2                                15   1   3   3   1 3      3 0 FAULT~              770049
IRLMS5703TRPBF                   Q2                                15   1   4   4   1 4      4 0 +3.3V               831489
IRLMS5703TRPBF                   Q2                                15   1   5   5   1 5      5 0 XSIG010036          90113
IRLMS5703TRPBF                   Q2                                15   1   6   6   1 6      6 0 XSIG010036          90113
N2530-6002-RB                    J1                                65   1   1   1   1 1      1 0 +5V                 851969
N2530-6002-RB                    J1                                65   1   2   2   1 2      2 0 +5V                 851969
N2530-6002-RB                    J1                                65   1   3   3   1 3      3 0 GND                 888833
N2530-6002-RB                    J1                                65   1   4   4   1 4      4 0 GND                 888833
N2530-6002-RB                    J1                                65   1   5   5   1 5      5 0                        0
N2530-6002-RB                    J1                                65   1   6   6   1 6      6 0                        0
N2530-6002-RB                    J1                                65   1   7   7   1 7      7 0                        0
N2530-6002-RB                    J1                                65   1   8   8   1 8      8 0                        0
N2530-6002-RB                    J1                                65   1   9   9   1 9      9 0                        0
N2530-6002-RB                    J1                                65   1  10  10   1 10    10 0                        0
N2530-6002-RB                    J1                                65   1  11  11   1 11    11 0                        0
N2530-6002-RB                    J1                                65   1  12  12   1 12    12 0                        0
